event_date,inst_date,pkg,utm_source,utm_campaign,utm_medium,utm_creative,utm_country,cv,user_id,template_id,edit_action,prev_action,tpl_action,result_action,ud_result_info,result_watermark,photo_action,eventCount
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,9f5d34795cef4f3285e97e45fe02c7e3,,,120,,,,,1
2022-10-20,2022-10-01,com.video.music.editor.maker,TikTok,catcut_gcc_出量_wl_02_0921 (1744578549881857),catcut_gcc_出量_wl_02_0921 (1744578548646930),in_220831_chenweiyu_9X16_vido3--24.mp4_001 (1744578552747042),ae,1.4.24,0f2d5c07b84a606d4e66d47de2862f3cdf20ebac,578a,,,120,,,,,1
2022-10-20,2022-10-16,com.video.music.editor.maker,TikTok,catcut_阿联酋_WSY_1008 (1746102095237153),cc_阿联酋_WSY_1008 (1746102105288705),catcut_in_220920_liaoluhui_1X1_couple3.mp4_002 (1746102107907122),ae,1.4.24,86f48f5f0cca166a3db46f96e824a0ab0fb63d1c,181b19fdf9f243bfb72b3de99ad11c6c,,,120,,,,,1
2022-10-20,2022-10-14,com.video.music.editor.maker,TikTok,catcut_ae_cp1-5_wl_02_1010 (1746294937353249),catcut_ae_cp1-5_wl_02_1010 (1746294943790098),catcut_in_220920_liaoluhui_1X1_couple3.mp4_004 (1746295047881729),ae,1.4.24,38a92c19eca884fedb7d87a5d1ccacfa685d82a7,062456ab1d6f4262b77aa714da77e39b,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_ae_出量_wl_02_1004 (1745713530137634),catcut_ae_出量_wl_02_1004 (1745713528495122),in_220902_chenweiyu_9X16_vido7-.mp4_002 (1745713539027986),ae,1.4.24,9dbc207d2d06c2ffe94fc413f97c2a80ef4737b2,2bab,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_gcc_10出量_spc_wl_1019 (1747111901035522),广告组 20221019063247 (1747111901035538),in_221010_zhangguiping_1X1_vido5.mp4_004 (1747111909774354),ae,1.4.24,0b1fe90c1209a289ea08f930f111ce5d24dae37d,0aac,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_中东_WSY_0930 (1745363009158177),0930_catcut_中东_WSY_优秀素材 (1745363010721809),catcut_in_220920_liaoluhui_1X1_boy04.mp4_002 (1745363019792402),ae,1.4.24,99cdb169ca39db2fa8165b9c5298a657c0fc919d,3190,,,120,,,,,1
2022-10-20,2022-10-11,com.video.music.editor.maker,TikTok,catcut_中东_wsy_1008 (1746102813884465),1008_catcut_中东_WSY (1746102815415394),09-超级月亮.mp4_003 (1746102820600881),ae,1.4.24,334d682850299dd6a28433ec9c3650628cac3014,9f0c,,,120,,,,,1
2022-10-20,2022-10-18,com.video.music.editor.maker,TikTok,catcut_gcc_14迭代_spc_wl_1014 (1746663879686162),catcut_gcc_14迭代_spc_wl_1014 (1746663879686178),in_221014_zhangguiping_1X1_vido1.mp4_001 (1746663888092242),ae,1.4.24,c0b902dfb940ff1095c5bc084c982d42e87ad2a0,e8c9,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_ae_出量_wl_02_1004 (1745713530137634),catcut_ae_出量_wl_02_1004 (1745713528495122),in_220902_chenweiyu_9X16_vido7-.mp4_001 (1745713539027970),ae,1.4.24,e1209f1e3828a40e3e657c826b4bfd2136395e4c,3378a055e4e748b9b42679548ba0ccb7,,,120,,,,,1
